STATIONS_ID,MESS_DATUM,QN_9,TT_TU,RF_TU,eor
       4928,1977070101,    5,  14.8,  79.0,eor
       4928,1977070102,    5,  14.2,  83.0,eor
       4928,1977070103,    5,  13.6,  83.0,eor
       4928,1977070104,    5,  13.3,  88.0,eor
       4928,1977070105,    5,  13.1,  88.0,eor
       4928,1977070106,    5,  13.5,  86.0,eor
       4928,1977070107,    5,  14.2,  73.0,eor
       4928,1977070108,    5,  16.1,  66.0,eor
       4928,1977070109,    5,  16.8,  62.0,eor
       4928,1977070110,    5,  17.6,  55.0,eor
       4928,1977070111,    5,  18.0,  50.0,eor
       4928,1977070112,    5,  18.7,  52.0,eor
       4928,1977070113,    5,  18.5,  50.0,eor
       4928,1977070114,    5,  21.1,  42.0,eor
       4928,1977070115,    5,  20.8,  38.0,eor
       4928,1977070116,    5,  20.9,  37.0,eor
       4928,1977070117,    5,  21.7,  38.0,eor
       4928,1977070118,    5,  20.9,  40.0,eor
       4928,1977070119,    5,  19.9,  42.0,eor
       4928,1977070120,    5,  19.2,  48.0,eor
       4928,1977070121,    5,  18.0,  53.0,eor
       4928,1977070122,    5,  17.6,  52.0,eor
       4928,1977070123,    5,  16.2,  58.0,eor
       4928,1977070200,    5,  16.3,  55.0,eor
       4928,1977070201,    5,  15.8,  59.0,eor
       4928,1977070202,    5,  14.9,  73.0,eor
       4928,1977070203,    5,  14.1,  80.0,eor
       4928,1977070204,    5,  13.2,  85.0,eor
       4928,1977070205,    5,  12.8,  87.0,eor
       4928,1977070206,    5,  12.9,  87.0,eor
       4928,1977070207,    5,  14.2,  77.0,eor
       4928,1977070208,    5,  16.3,  65.0,eor
       4928,1977070209,    5,  19.0,  50.0,eor
       4928,1977070210,    5,  21.1,  41.0,eor
       4928,1977070211,    5,  22.2,  39.0,eor
       4928,1977070212,    5,  23.2,  38.0,eor
       4928,1977070213,    5,  23.8,  35.0,eor
       4928,1977070214,    5,  23.9,  30.0,eor
       4928,1977070215,    5,  24.7,  30.0,eor
       4928,1977070216,    5,  24.8,  29.0,eor
       4928,1977070217,    5,  25.2,  28.0,eor
       4928,1977070218,    5,  25.1,  27.0,eor
       4928,1977070219,    5,  24.7,  27.0,eor
       4928,1977070220,    5,  23.9,  30.0,eor
       4928,1977070221,    5,  22.1,  33.0,eor
       4928,1977070222,    5,  21.4,  34.0,eor
       4928,1977070223,    5,  20.0,  42.0,eor
       4928,1977070300,    5,  18.5,  68.0,eor
       4928,1977070301,    5,  17.0,  70.0,eor
       4928,1977070302,    5,  16.2,  77.0,eor
       4928,1977070303,    5,  15.7,  87.0,eor
       4928,1977070304,    5,  15.0,  88.0,eor
       4928,1977070305,    5,  14.3,  89.0,eor
       4928,1977070306,    5,  14.7,  88.0,eor
       4928,1977070307,    5,  15.2,  80.0,eor
       4928,1977070308,    5,  17.7,  66.0,eor
       4928,1977070309,    5,  20.3,  58.0,eor
       4928,1977070310,    5,  23.0,  50.0,eor
       4928,1977070311,    5,  24.8,  46.0,eor
       4928,1977070312,    5,  26.0,  38.0,eor
       4928,1977070313,    5,  26.8,  36.0,eor
       4928,1977070314,    5,  27.1,  35.0,eor
       4928,1977070315,    5,  28.0,  33.0,eor
       4928,1977070316,    5,  28.3,  31.0,eor
       4928,1977070317,    5,  28.4,  29.0,eor
       4928,1977070318,    5,  28.0,  32.0,eor
       4928,1977070319,    5,  27.7,  32.0,eor
       4928,1977070320,    5,  26.7,  34.0,eor
       4928,1977070321,    5,  24.2,  49.0,eor
       4928,1977070322,    5,  23.1,  56.0,eor
       4928,1977070323,    5,  22.0,  57.0,eor
       4928,1977070400,    5,  21.5,  61.0,eor
       4928,1977070401,    5,  21.1,  63.0,eor
       4928,1977070402,    5,  19.8,  78.0,eor
       4928,1977070403,    5,  18.1,  81.0,eor
       4928,1977070404,    5,  17.7,  84.0,eor
       4928,1977070405,    5,  16.8,  88.0,eor
       4928,1977070406,    5,  16.4,  89.0,eor
       4928,1977070407,    5,  17.1,  72.0,eor
       4928,1977070408,    5,  20.4,  70.0,eor
